onset_time,kick,snare,hihat,tom,crash,ride
63.86648526077097,True,False,False,False,True,False
64.19156462585035,True,False,False,False,False,False
64.35410430839002,False,True,True,False,False,False
64.69079365079365,True,False,True,False,False,False
64.8649433106576,True,False,False,False,False,False
65.00426303854876,False,True,True,False,False,False
65.19002267573696,True,False,False,False,True,False
65.52671201814059,True,False,False,False,False,False
65.677641723356,False,True,True,False,False,False
66.0259410430839,True,False,True,False,False,False
66.18848072562358,True,False,False,False,False,False
66.339410430839,False,True,False,False,False,False
66.51356009070295,True,False,False,False,True,False
66.86185941043084,True,False,False,False,False,False
67.001179138322,False,True,True,False,False,False
67.34947845804989,True,False,True,False,False,False
67.54684807256236,False,True,True,False,False,False
67.67455782312925,False,True,False,False,False,False
67.76743764172336,False,True,False,False,False,False
67.87192743764173,True,False,False,False,True,False
68.18539682539682,True,False,False,False,False,False
68.32471655328798,False,True,True,False,False,False
68.68462585034014,False,False,True,False,False,False
68.85877551020408,True,False,False,False,False,False
68.99809523809523,False,True,True,False,False,False
69.19546485260771,True,False,False,False,False,False
69.53215419501134,True,False,False,False,False,False
69.67147392290249,False,True,True,False,False,False
70.01977324263038,False,False,True,False,False,False
70.19392290249434,True,False,False,False,False,False
70.33324263038548,False,True,True,False,False,False
70.53061224489795,True,False,False,False,False,False
70.85569160997733,True,False,False,False,False,False
71.00662131519275,False,True,True,False,False,False
71.35492063492063,False,False,True,False,False,False
71.52907029478457,True,False,False,False,False,False
71.66839002267574,False,True,True,False,False,False
71.85414965986395,True,False,False,False,False,False
72.19083900226758,True,False,False,False,False,False
72.33015873015873,False,True,True,False,False,False
72.67845804988661,True,False,True,False,False,False
72.8758276643991,True,False,False,False,False,False
72.99192743764172,False,True,True,False,False,False
73.14285714285714,False,True,False,False,False,False
73.21251700680273,False,True,False,False,False,False
73.32861678004535,True,False,False,False,True,False
73.66530612244898,False,True,True,False,False,False
74.01360544217687,True,False,True,False,False,False
74.18775510204081,True,False,False,False,False,False
74.33868480725623,False,True,True,False,False,False
74.52444444444444,True,False,False,False,True,False
74.82630385487528,True,False,False,False,False,False
74.98884353741497,False,True,True,False,False,False
75.34875283446712,True,False,True,False,False,False
75.52290249433106,True,False,False,False,False,False
75.68544217687075,False,True,True,False,False,False
75.8595918367347,True,False,False,False,True,False
76.18467120181406,True,False,False,False,False,False
76.33560090702947,False,True,True,False,False,False
76.68390022675737,True,False,True,False,False,False
76.85804988662132,True,False,False,False,False,False
77.00897959183673,False,True,True,False,False,False
77.2063492063492,True,False,False,False,False,False
77.53142857142858,True,False,False,False,False,False
77.67074829931973,False,True,True,False,False,False
78.01904761904763,True,False,True,False,False,False
78.1815873015873,True,False,False,False,False,False
78.3092970521542,False,True,True,False,False,False
78.66920634920635,True,False,False,False,True,False
79.00589569160998,False,True,True,False,False,False
79.19165532879819,True,False,False,False,False,False
79.51673469387755,True,False,False,False,False,False
79.6560544217687,False,True,True,False,False,False
79.86503401360544,True,False,False,False,False,False
80.20172335600907,True,False,False,False,False,False
80.32943310657596,False,True,True,False,False,False
80.68934240362812,True,False,True,False,False,False
80.87510204081633,True,False,False,False,False,False
81.00281179138322,False,True,True,False,False,False
81.18857142857142,True,False,False,False,True,False
81.5136507936508,True,False,False,False,False,False
81.66458049886621,False,True,True,False,False,False
82.0128798185941,True,False,True,False,False,False
82.19863945578231,True,False,False,False,False,False
82.34956916099773,False,True,True,False,False,False
82.53532879818594,True,False,False,False,True,False
82.8604081632653,True,False,False,False,False,False
83.01133786848072,False,True,True,False,False,False
83.34802721088435,True,False,True,False,False,False
83.5221768707483,True,False,False,False,False,False
83.67310657596371,False,True,True,False,False,False
83.82403628117913,False,True,False,False,False,False
84.00979591836735,True,False,False,False,True,False
84.3348752834467,False,True,True,False,False,False
84.52063492063492,True,False,False,False,False,False
84.85732426303855,True,False,False,False,False,False
